ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,Class
90,47.5,2,20.35,7,9.17,1,3,1,0,0,0.0,0.0,33.33,0,B
91,30.83,2,23.34,5,8.33,2,6,4,0,1,0.0,0.0,33.33,0,B
92,23.33,2,17.3,5,8.33,2,9,4,1,1,0.0,0.0,20.83,0,B
93,25.0,2,9.58,1,7.5,1,5,2,2,1,0.0,1310.83,29.17,-1,B
94,28.33,4,18.42,0,10.83,1,11,1,0,0,0.0,0.0,33.33,0,A
95,24.17,4,9.41,5,8.33,0,2,0,0,0,0.0,0.0,41.67,0,B
96,40.0,1,15.57,9,13.33,1,3,1,0,0,0.0,1585.0,50.0,0,A
97,30.83,2,16.5,5,8.33,1,5,1,0,0,0.0,0.0,40.0,0,A
98,40.0,2,13.93,6,10.0,2,1,4,0,1,0.0,0.0,33.33,8,B
99,26.67,3,20.3,1,7.5,0,4,3,1,0,0.0,0.0,33.33,0,B
100,63.33,2,10.11,3,11.67,1,1,1,0,0,0.0,0.0,33.33,0,A
101,36.67,2,16.14,0,10.83,1,1,1,0,0,12520.0,0.0,50.0,0,A
102,39.17,1,12.14,3,11.67,0,3,0,0,1,0.0,0.0,41.67,0,B
103,16.67,2,15.33,5,8.33,0,10,3,0,1,0.0,0.0,33.33,0,B
104,24.17,2,8.42,1,7.5,0,6,0,0,0,0.0,0.0,33.33,0,B
105,26.67,5,25.86,1,7.5,1,6,1,0,0,6406.67,0.0,33.33,0,A
106,14.17,-1,24.82,12,5.0,0,-1,3,0,1,28412.5,0.0,26.67,0,B
107,25.0,2,15.86,2,5.83,0,2,3,0,0,0.0,0.0,33.33,0,B
108,25.83,4,15.41,1,7.5,0,0,0,0,1,0.0,0.0,33.33,0,B
109,35.0,2,10.15,1,7.5,1,2,1,0,0,0.0,0.0,33.33,0,B
110,20.0,2,35.2,0,10.83,0,5,5,0,0,0.0,0.0,33.33,0,B
111,31.67,2,5.32,10,12.5,1,3,1,0,0,0.0,0.0,33.33,0,A
112,46.67,1,27.32,1,7.5,1,4,1,0,0,0.0,1572.5,41.67,9,A
113,23.33,2,30.76,5,8.33,1,5,2,0,1,3386.67,0.0,20.83,0,B
114,30.0,2,8.37,1,7.5,0,9,3,0,1,0.0,0.0,33.33,0,B
115,44.17,2,7.79,4,4.17,1,2,1,0,0,0.0,0.0,41.67,0,B
116,46.67,5,24.67,5,8.33,1,5,1,0,0,0.0,0.0,41.67,0,B
117,40.83,4,16.07,7,9.17,1,6,1,1,0,0.0,0.0,33.33,0,A
118,45.83,2,20.15,5,8.33,1,5,1,0,0,0.0,0.0,46.67,0,B
119,18.33,2,8.35,1,7.5,0,6,0,0,0,0.0,0.0,34.17,0,B
120,17.5,2,16.27,5,8.33,0,4,3,0,1,0.0,0.0,33.33,0,B
121,33.33,2,9.67,0,10.83,1,1,1,0,0,0.0,0.0,50.0,0,B
122,25.0,2,6.28,0,10.83,0,1,3,1,0,0.0,0.0,33.33,10,B
123,24.17,0,21.81,0,10.83,1,3,1,0,0,0.0,0.0,41.67,0,A
124,15.83,2,24.55,5,8.33,0,4,3,1,0,0.0,0.0,29.17,0,B
125,39.17,2,23.43,0,10.83,1,1,2,0,1,0.0,0.0,33.33,0,A
126,16.67,2,9.09,5,8.33,0,0,3,0,1,0.0,1432.5,23.33,0,B
127,25.83,2,9.36,6,10.0,1,0,1,0,0,0.0,0.0,33.33,0,A
128,29.17,-1,10.53,1,7.5,1,-1,1,0,0,0.0,0.0,33.33,0,B
129,32.5,2,29.77,5,8.33,2,6,0,0,0,0.0,0.0,33.33,0,B
130,23.33,2,5.67,6,10.0,0,5,0,0,1,0.0,0.0,50.0,0,B
131,20.0,2,3.53,1,7.5,0,4,0,0,1,0.0,1468.33,33.33,0,B
132,31.67,1,9.85,1,7.5,1,6,1,0,0,3655.0,0.0,29.17,0,B
133,30.83,2,20.69,0,10.83,1,5,1,0,0,0.0,0.0,41.67,0,B
134,38.33,2,11.9,6,10.0,2,10,0,1,1,0.0,0.0,30.0,0,B
135,31.67,3,10.25,3,11.67,1,3,1,0,0,0.0,0.0,33.33,11,A
136,35.83,1,4.63,1,7.5,1,6,1,0,0,0.0,0.0,50.0,0,B
137,22.5,2,13.28,7,9.17,1,0,2,0,1,0.0,0.0,29.17,0,B
138,16.67,2,2.79,5,8.33,0,5,3,0,0,0.0,0.0,16.67,0,B
139,40.83,2,6.67,5,8.33,1,6,1,2,0,0.0,0.0,33.33,0,A
140,50.83,5,5.42,1,7.5,1,6,1,0,0,0.0,0.0,33.33,0,B
141,22.5,2,18.95,5,8.33,0,5,3,0,1,0.0,0.0,33.33,0,B
142,15.83,2,25.79,5,8.33,0,4,3,0,0,0.0,0.0,25.0,4,B
143,37.5,2,16.0,7,9.17,0,3,0,0,1,0.0,1303.33,33.33,0,A
144,58.33,2,8.58,5,8.33,0,10,5,0,0,0.0,0.0,33.33,0,B
145,25.83,2,15.13,1,7.5,0,7,4,1,1,0.0,0.0,25.0,0,B
146,18.33,2,14.28,5,8.33,1,4,1,0,0,0.0,0.0,20.0,0,B
147,30.0,2,8.82,1,7.5,6,4,4,0,1,0.0,0.0,20.0,0,B
148,53.33,2,14.75,2,5.83,1,6,1,0,0,0.0,1815.83,33.33,0,B
149,35.83,-1,14.22,5,8.33,2,-1,0,0,1,0.0,0.0,33.33,0,B
150,39.17,4,15.14,5,8.33,2,0,4,0,1,0.0,0.0,31.67,4,B
151,28.33,2,16.13,1,7.5,0,0,0,0,1,0.0,0.0,33.33,0,B
152,27.5,2,13.27,0,10.83,0,1,5,2,1,0.0,0.0,33.33,12,B
153,17.5,2,24.11,1,7.5,0,6,3,0,0,0.0,0.0,29.17,0,B
154,43.33,-1,20.59,1,7.5,2,-1,0,0,0,0.0,0.0,37.5,0,A
155,40.0,2,15.28,1,7.5,1,6,1,0,0,0.0,0.0,38.33,0,B
156,19.17,2,17.46,0,10.83,0,2,0,0,0,0.0,0.0,33.33,0,B
157,59.17,1,40.23,5,8.33,4,5,4,1,0,0.0,1513.33,1.67,0,B
158,24.17,2,15.59,1,7.5,2,6,0,0,0,0.0,0.0,50.0,0,B
159,35.0,2,18.6,0,10.83,4,4,5,1,0,0.0,0.0,41.67,0,B
160,56.67,-1,3.12,13,1.67,2,-1,0,0,1,0.0,0.0,16.67,0,B
161,20.83,2,20.57,1,7.5,0,4,4,0,1,0.0,0.0,33.33,0,B
162,36.67,5,6.38,3,11.67,2,1,4,2,1,0.0,0.0,33.33,0,B
163,23.33,2,7.2,1,7.5,0,1,0,2,1,0.0,0.0,33.33,8,B
164,37.5,1,16.37,3,11.67,1,5,1,0,0,0.0,0.0,33.33,0,A
165,30.0,2,16.86,5,8.33,2,4,4,0,1,0.0,0.0,33.33,4,B
166,32.5,3,19.17,6,10.0,0,1,0,0,0,0.0,0.0,35.0,0,B
167,38.33,0,8.35,3,11.67,6,11,4,0,0,0.0,0.0,33.33,0,B
168,15.0,2,2.1,2,5.83,0,2,3,0,0,0.0,0.0,13.33,0,B
169,55.0,4,4.46,7,9.17,6,3,0,0,1,0.0,0.0,16.67,0,B
170,22.5,2,10.17,1,7.5,0,4,0,0,0,0.0,1650.0,33.33,0,B
171,23.33,0,14.27,1,7.5,1,11,1,0,0,0.0,0.0,33.33,0,B
172,42.5,2,7.82,5,8.33,1,5,1,0,0,0.0,1647.5,33.33,0,A
173,22.5,2,34.84,0,10.83,0,6,0,0,0,0.0,0.0,41.67,0,B
174,23.33,0,12.18,0,10.83,1,3,1,0,0,0.0,0.0,33.33,0,A
175,22.5,2,20.66,1,7.5,3,5,4,0,1,0.0,0.0,20.83,0,B
176,17.5,2,25.47,1,7.5,0,6,3,1,0,0.0,0.0,33.33,0,B
177,28.33,2,39.38,1,7.5,0,2,0,1,0,0.0,0.0,33.33,0,B
178,15.0,2,14.97,1,7.5,0,4,3,0,0,0.0,0.0,10.0,0,B
179,27.5,2,3.03,0,10.83,1,3,1,0,0,0.0,0.0,54.17,0,B
180,36.67,4,14.76,5,8.33,1,1,1,1,0,0.0,0.0,31.67,0,A
181,35.83,2,9.33,5,8.33,2,0,0,0,1,0.0,0.0,33.33,0,B
182,25.0,2,51.59,5,8.33,0,6,0,1,0,0.0,0.0,37.5,0,B
183,33.33,2,23.31,8,3.33,1,9,1,0,0,0.0,0.0,33.33,4,A
184,30.83,3,2.36,5,8.33,1,0,1,0,0,0.0,0.0,35.0,0,A
185,28.33,2,24.75,1,7.5,1,0,1,1,0,0.0,0.0,33.33,0,B
186,34.17,1,11.65,0,10.83,2,1,0,0,1,0.0,0.0,33.33,0,B
187,44.17,-1,11.0,0,10.83,2,-1,0,0,1,0.0,0.0,41.67,0,B
188,25.83,2,8.13,3,11.67,1,3,2,0,1,0.0,0.0,41.67,0,B
189,48.33,0,8.92,9,13.33,1,3,1,0,0,0.0,0.0,0.83,0,A
190,31.67,2,12.64,5,8.33,2,9,0,1,1,0.0,0.0,23.33,0,B
191,20.0,2,12.99,5,8.33,1,9,1,0,0,0.0,0.0,33.33,0,B
192,34.17,4,42.65,0,10.83,1,6,1,1,0,0.0,0.0,33.33,0,B
193,39.17,2,9.84,5,8.33,1,10,1,0,0,0.0,0.0,37.5,0,B
194,34.17,3,10.64,0,10.83,1,10,1,0,0,0.0,0.0,20.0,0,B
195,19.17,2,16.07,11,2.5,1,7,5,0,0,0.0,0.0,33.33,4,B
196,30.0,2,8.09,5,8.33,2,6,0,0,0,0.0,0.0,33.33,0,B
197,33.33,3,4.62,3,11.67,0,1,0,0,1,11736.67,0.0,45.83,0,A
198,29.17,2,11.31,3,11.67,1,3,5,0,0,6081.67,0.0,33.33,0,A
199,20.0,1,2.68,1,7.5,0,5,0,0,0,0.0,0.0,33.33,0,B
200,21.67,2,32.34,3,11.67,0,3,0,0,1,0.0,1563.33,33.33,0,B
201,15.83,-1,13.89,1,7.5,0,-1,3,0,0,0.0,0.0,33.33,13,B
202,42.5,2,21.11,0,10.83,1,1,1,0,0,0.0,0.0,41.67,0,A
203,35.0,4,20.74,5,8.33,0,3,0,0,1,0.0,1116.67,33.33,0,B
204,30.83,0,3.92,1,7.5,2,0,4,0,1,0.0,0.0,29.17,0,B
205,15.0,2,11.41,2,5.83,0,5,3,0,1,0.0,0.0,33.33,0,B
206,30.0,2,10.48,0,10.83,1,4,1,1,0,6081.67,0.0,30.0,0,A
207,29.17,2,2.95,1,7.5,2,6,0,0,0,0.0,0.0,50.0,0,B
208,48.33,5,17.14,1,7.5,1,5,2,0,1,12520.0,0.0,29.17,0,A
209,14.17,2,5.32,2,5.83,0,5,3,0,1,0.0,0.0,10.0,0,B
210,36.67,4,13.1,1,7.5,1,7,1,1,0,0.0,0.0,33.33,0,B
211,30.83,2,16.96,1,7.5,1,6,1,0,0,0.0,0.0,33.33,0,A
212,29.17,2,12.52,5,8.33,0,5,0,3,1,0.0,0.0,33.33,0,B
213,50.0,2,6.99,1,7.5,1,6,1,2,0,0.0,0.0,33.33,0,B
214,45.0,5,10.21,8,3.33,1,9,1,0,0,0.0,0.0,33.33,0,A
215,30.83,2,51.76,0,10.83,0,1,0,1,0,0.0,0.0,50.0,0,A
216,41.67,2,25.5,6,10.0,2,5,0,0,1,0.0,0.0,33.33,0,B
217,31.67,2,14.86,0,10.83,1,5,1,0,0,0.0,0.0,41.67,14,B
218,37.5,2,8.91,0,10.83,1,3,1,0,0,0.0,0.0,45.83,0,B
219,20.83,2,20.76,12,5.0,0,6,0,0,0,0.0,0.0,33.33,0,B
220,25.83,2,16.11,5,8.33,1,2,1,0,0,0.0,0.0,33.33,0,B
221,53.33,-1,15.28,13,1.67,2,-1,0,0,0,0.0,0.0,33.33,0,B
222,75.0,2,4.21,1,7.5,0,4,0,1,0,0.0,1838.33,33.33,0,B
223,45.0,2,14.38,1,7.5,1,0,1,1,0,0.0,0.0,16.67,0,B
224,44.17,4,11.43,14,0.83,0,9,0,0,1,0.0,0.0,29.17,0,B
225,15.0,2,19.81,1,7.5,0,5,3,0,1,0.0,0.0,33.33,0,B
226,50.0,-1,1.97,12,5.0,2,-1,0,3,1,0.0,0.0,8.33,0,B
227,55.0,1,13.65,1,7.5,1,8,1,0,0,1174.17,0.0,41.67,0,B
228,62.5,2,25.58,7,9.17,6,0,0,0,1,0.0,0.0,16.67,15,B
229,54.17,2,14.39,1,7.5,2,0,0,0,1,0.0,0.0,33.33,0,B
230,29.17,2,43.84,2,5.83,4,7,0,1,0,3061.67,0.0,33.33,0,B
231,34.17,2,10.62,1,7.5,2,5,4,1,1,0.0,0.0,31.67,0,B
232,20.83,2,13.0,5,8.33,0,0,0,0,0,0.0,0.0,35.0,0,B
233,27.5,2,9.03,5,8.33,2,6,5,4,1,0.0,0.0,33.33,0,B
234,23.33,2,6.24,10,12.5,0,3,0,0,0,0.0,0.0,45.83,0,A
235,49.17,0,21.87,1,7.5,1,4,1,0,0,0.0,0.0,33.33,0,B
236,33.33,0,13.88,5,8.33,0,0,0,0,1,0.0,0.0,31.67,0,B
237,34.17,2,14.66,0,10.83,1,1,1,0,0,0.0,0.0,41.67,11,A
238,31.67,4,9.37,3,11.67,1,1,1,0,0,0.0,0.0,58.33,0,A
239,19.17,2,9.4,1,7.5,0,7,3,0,0,0.0,0.0,33.33,0,B
240,33.33,2,28.32,0,10.83,1,3,1,0,0,0.0,0.0,33.33,0,A
241,34.17,1,15.95,1,7.5,1,4,2,0,1,0.0,0.0,16.67,0,B
242,20.0,0,22.3,6,10.0,1,11,1,0,0,0.0,0.0,41.67,0,B
243,16.67,-1,9.7,5,8.33,0,-1,3,0,0,0.0,0.0,16.67,0,B
244,31.67,2,14.61,5,8.33,2,6,0,0,0,0.0,1450.83,33.33,0,B
245,46.67,2,16.57,1,7.5,1,0,1,0,0,0.0,0.0,29.17,-1,B
246,48.33,2,19.26,1,7.5,1,0,1,0,0,0.0,0.0,37.5,0,A
247,26.67,2,14.97,1,7.5,0,4,0,0,1,0.0,0.0,28.33,0,B
248,33.33,2,16.9,6,10.0,1,10,1,0,0,0.0,1647.5,50.0,0,A
249,37.5,2,12.47,1,7.5,1,0,1,0,0,0.0,0.0,33.33,-1,B
250,34.17,2,9.18,10,12.5,1,3,2,0,1,0.0,0.0,33.33,0,A
251,35.0,2,31.81,0,10.83,1,0,2,1,1,0.0,0.0,33.33,0,B
252,49.17,4,13.95,12,5.0,6,4,4,1,1,0.0,0.0,25.0,0,B
253,15.83,4,2.23,5,8.33,0,0,3,0,0,0.0,0.0,33.33,0,B
254,48.33,2,21.08,5,8.33,0,7,0,0,0,0.0,0.0,16.67,0,B
255,35.0,1,24.67,1,7.5,1,8,1,2,0,0.0,0.0,33.33,16,A
256,16.67,2,9.59,1,7.5,0,4,3,0,1,0.0,0.0,33.33,0,B
257,26.67,2,14.05,1,7.5,4,4,0,0,1,0.0,0.0,25.0,0,B
258,37.5,2,15.28,7,9.17,6,1,0,0,1,0.0,0.0,37.5,0,B
259,41.67,2,16.65,8,3.33,2,6,0,0,0,0.0,0.0,33.33,0,B
260,30.0,2,12.21,0,10.83,2,3,3,0,1,0.0,0.0,33.33,0,B
261,37.5,2,7.98,1,7.5,1,5,1,0,0,0.0,0.0,50.0,0,B
262,14.17,2,20.02,2,5.83,0,4,3,0,0,0.0,0.0,10.0,0,B
263,49.17,2,11.89,5,8.33,1,5,1,0,0,3386.67,0.0,33.33,0,B
264,21.67,2,30.8,2,5.83,1,6,1,0,0,0.0,0.0,33.33,0,B
265,30.83,5,20.94,5,8.33,1,1,1,2,0,0.0,0.0,62.5,17,A
266,15.83,-1,17.82,5,8.33,0,-1,3,0,0,0.0,0.0,20.0,9,B
267,53.33,2,1.72,1,7.5,1,1,1,0,0,0.0,0.0,33.33,0,A
268,27.5,2,15.1,0,10.83,0,3,0,0,1,0.0,0.0,37.5,0,B
269,27.5,2,18.09,1,7.5,1,6,2,0,1,0.0,0.0,33.33,0,A
270,50.83,2,5.69,1,7.5,1,1,1,0,0,0.0,0.0,33.33,0,A
271,14.17,2,15.57,4,4.17,0,4,3,0,0,879.17,0.0,20.0,0,B
272,41.67,1,2.5,3,11.67,1,8,1,0,0,2005.83,0.0,81.67,0,B
273,22.5,4,17.02,3,11.67,0,3,3,0,0,0.0,0.0,29.17,0,B
274,25.0,2,5.73,1,7.5,2,3,3,0,1,0.0,0.0,33.33,0,B
275,35.83,2,38.91,1,7.5,1,2,1,1,0,0.0,0.0,33.33,0,B
276,36.67,2,13.91,5,8.33,1,6,1,0,0,6081.67,0.0,33.33,0,A
277,29.17,2,15.48,5,8.33,0,1,0,0,1,0.0,0.0,33.33,0,B
278,20.83,2,15.77,5,8.33,0,10,3,0,1,0.0,0.0,33.33,0,B
279,20.0,2,22.75,5,8.33,1,9,2,0,1,6081.67,0.0,40.0,0,A
280,18.33,2,2.84,0,10.83,0,3,0,0,1,0.0,0.0,12.5,10,B
281,35.0,4,7.95,5,8.33,1,6,1,0,0,4315.0,0.0,33.33,0,A
282,28.33,2,14.28,6,10.0,2,5,4,1,1,0.0,0.0,37.5,0,B
283,50.0,2,14.16,0,10.83,2,3,0,0,1,0.0,0.0,35.0,0,B
284,17.5,2,16.75,1,7.5,0,2,3,0,0,0.0,0.0,33.33,0,B
285,47.5,3,34.61,3,11.67,1,5,1,0,0,12520.0,0.0,33.33,0,A
286,34.17,2,17.95,10,12.5,1,3,1,0,0,0.0,0.0,50.0,0,A
287,41.67,2,14.38,5,8.33,2,4,0,0,0,0.0,0.0,37.5,0,B
288,20.83,2,30.28,0,10.83,0,1,0,0,1,0.0,0.0,33.33,0,B
289,41.67,2,15.78,8,3.33,1,6,1,0,0,0.0,0.0,33.33,18,B
290,30.0,2,16.31,0,10.83,1,3,1,0,0,0.0,0.0,37.5,0,B
291,25.83,2,10.39,1,7.5,2,3,0,0,1,0.0,0.0,33.33,0,B
292,24.17,4,17.94,0,10.83,0,11,0,0,0,0.0,0.0,46.67,0,B
293,17.5,2,18.88,5,8.33,0,5,3,0,0,0.0,0.0,37.5,0,B
294,22.5,2,20.22,0,10.83,0,10,4,1,1,0.0,0.0,33.33,0,B
295,54.17,2,9.04,1,7.5,1,7,1,0,0,0.0,0.0,13.33,0,B
296,30.83,5,4.67,0,10.83,2,5,0,0,1,0.0,0.0,50.0,0,B
297,32.5,-1,12.82,3,11.67,1,-1,2,2,1,2886.67,0.0,33.33,-1,B
298,20.0,2,22.64,1,7.5,0,6,3,0,0,0.0,0.0,33.33,0,B
299,31.67,2,13.79,1,7.5,2,5,0,0,0,0.0,0.0,66.67,0,B
300,40.0,2,11.91,0,10.83,1,0,1,0,0,6406.67,0.0,33.33,0,A
301,17.5,2,12.51,5,8.33,0,4,0,2,1,0.0,0.0,20.83,0,B
302,25.83,2,17.7,1,7.5,1,7,1,0,0,0.0,0.0,37.5,0,A
303,45.83,2,19.43,1,7.5,1,5,1,0,0,3655.0,0.0,33.33,0,A
304,20.0,2,24.69,5,8.33,1,0,2,2,1,0.0,0.0,33.33,19,B
305,35.83,2,14.11,1,7.5,2,0,0,0,1,0.0,0.0,33.33,0,B
306,21.67,2,15.79,6,10.0,0,10,0,0,0,0.0,0.0,37.5,0,B
307,38.33,2,6.76,6,10.0,0,3,0,0,1,0.0,0.0,27.5,0,B
308,29.17,2,15.78,6,10.0,1,0,1,0,0,0.0,0.0,33.33,0,A
309,34.17,5,2.85,5,8.33,1,8,1,0,0,0.0,0.0,45.0,0,A
310,21.67,2,4.83,0,10.83,0,5,0,0,0,0.0,0.0,33.33,0,B
311,28.33,2,11.63,3,11.67,1,1,1,2,0,6081.67,0.0,29.17,20,A
312,15.83,-1,70.03,5,8.33,0,-1,3,1,1,0.0,0.0,20.83,0,B
313,30.0,1,16.74,0,10.83,2,3,0,1,1,0.0,0.0,33.33,0,A
